"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 237, 0, 0, 0, 17, 58, 312
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\learning.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 6, 12, 57
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\authService.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 3, 31
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\axiosInstance.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\calendarService.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 1, 8, 35
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\getAllDataFromServer.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\messageService.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\paymentService.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 1, 7, 33
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\photoServices.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 5, 3, 27
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\randomisedService.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 12, 6, 28
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\repeatService.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\strictModeService.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\services\verifyLivePhoto.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\vercel.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\vite.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 2, 16
"Total", "-", 3986, 8, 720, 3855, 237, 97, 13, 3, 1559, 1101, 11579
